mars_base_internal_temperature: 19 | mars_base_external_temperature: 16 | mars_base_internal_humidity: 56 | mars_base_external_illuminance: 681 | mars_base_internal_co2: 0.041 | mars_base_internal_oxygen: 5.48
mars_base_internal_temperature: 18 | mars_base_external_temperature: 6 | mars_base_internal_humidity: 52 | mars_base_external_illuminance: 578 | mars_base_internal_co2: 0.056 | mars_base_internal_oxygen: 4.36
mars_base_internal_temperature: 20 | mars_base_external_temperature: 2 | mars_base_internal_humidity: 57 | mars_base_external_illuminance: 700 | mars_base_internal_co2: 0.065 | mars_base_internal_oxygen: 4.83
mars_base_internal_temperature: 22 | mars_base_external_temperature: 19 | mars_base_internal_humidity: 59 | mars_base_external_illuminance: 522 | mars_base_internal_co2: 0.027 | mars_base_internal_oxygen: 5.23
mars_base_internal_temperature: 26 | mars_base_external_temperature: 17 | mars_base_internal_humidity: 55 | mars_base_external_illuminance: 680 | mars_base_internal_co2: 0.097 | mars_base_internal_oxygen: 5.36
mars_base_internal_temperature: 19 | mars_base_external_temperature: 12 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 633 | mars_base_internal_co2: 0.035 | mars_base_internal_oxygen: 5.47
mars_base_internal_temperature: 27 | mars_base_external_temperature: 14 | mars_base_internal_humidity: 53 | mars_base_external_illuminance: 564 | mars_base_internal_co2: 0.028 | mars_base_internal_oxygen: 6.66
mars_base_internal_temperature: 21 | mars_base_external_temperature: 2 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 596 | mars_base_internal_co2: 0.068 | mars_base_internal_oxygen: 6.14
mars_base_internal_temperature: 27 | mars_base_external_temperature: 6 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 628 | mars_base_internal_co2: 0.058 | mars_base_internal_oxygen: 5.85
mars_base_internal_temperature: 23 | mars_base_external_temperature: 8 | mars_base_internal_humidity: 50 | mars_base_external_illuminance: 510 | mars_base_internal_co2: 0.089 | mars_base_internal_oxygen: 6.19
mars_base_internal_temperature: 28 | mars_base_external_temperature: 10 | mars_base_internal_humidity: 52 | mars_base_external_illuminance: 690 | mars_base_internal_co2: 0.067 | mars_base_internal_oxygen: 6.7
mars_base_internal_temperature: 28 | mars_base_external_temperature: 12 | mars_base_internal_humidity: 56 | mars_base_external_illuminance: 581 | mars_base_internal_co2: 0.064 | mars_base_internal_oxygen: 4.97
mars_base_internal_temperature: 28 | mars_base_external_temperature: 2 | mars_base_internal_humidity: 56 | mars_base_external_illuminance: 588 | mars_base_internal_co2: 0.065 | mars_base_internal_oxygen: 4.61
mars_base_internal_temperature: 29 | mars_base_external_temperature: 21 | mars_base_internal_humidity: 55 | mars_base_external_illuminance: 507 | mars_base_internal_co2: 0.062 | mars_base_internal_oxygen: 6.22
mars_base_internal_temperature: 23 | mars_base_external_temperature: 3 | mars_base_internal_humidity: 57 | mars_base_external_illuminance: 571 | mars_base_internal_co2: 0.022 | mars_base_internal_oxygen: 6.31
mars_base_internal_temperature: 20 | mars_base_external_temperature: 20 | mars_base_internal_humidity: 50 | mars_base_external_illuminance: 624 | mars_base_internal_co2: 0.056 | mars_base_internal_oxygen: 6.45
mars_base_internal_temperature: 21 | mars_base_external_temperature: 4 | mars_base_internal_humidity: 55 | mars_base_external_illuminance: 682 | mars_base_internal_co2: 0.069 | mars_base_internal_oxygen: 4.15
mars_base_internal_temperature: 18 | mars_base_external_temperature: 18 | mars_base_internal_humidity: 54 | mars_base_external_illuminance: 649 | mars_base_internal_co2: 0.079 | mars_base_internal_oxygen: 6.36
mars_base_internal_temperature: 23 | mars_base_external_temperature: 3 | mars_base_internal_humidity: 50 | mars_base_external_illuminance: 573 | mars_base_internal_co2: 0.097 | mars_base_internal_oxygen: 4.75
